Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"297 BROADACRE DRIVE, Kitchener, ON",Rental,4500,Not listed,N/A,5,5
"233 - 55 DUKE STREET, Kitchener, ON",Rental,2300,Not listed,N/A,2,1
"280 SYDNEY Street, Kitchener, ON",Rental,1700,800 SQFT,N/A,1,1
"165 WINDFLOWER DRIVE, Kitchener, ON",Rental,2600,Not listed,N/A,3,2
"25 ISHERWOOD Avenue Unit# C036, Cambridge, ON",Rental,2500,"1,313 SQFT",N/A,2,3
"741 KING Street W Unit# 813, Kitchener, ON",Rental,1900,537 SQFT,N/A,0,1
"342 MILL Street Unit# 48, Kitchener, ON",Rental,3000,"1,742 SQFT","$3,673",3,4
"460 WOOLWICH Street Unit# 33, Waterloo, ON",Rental,3500,"2,065 SQFT","$4,225",3,3
"676 WILD GINGER Avenue, Waterloo, ON",Rental,2950,"2,204 SQFT",N/A,3,3
"25 ISHERWOOD Avenue Unit# H125, Cambridge, ON",Rental,2499,"1,148 SQFT",N/A,3,2
"88 BROADMOOR Avenue, Kitchener, ON",Rental,2200,Not listed,"$3,345",3,1
"557 DRUMMERHILL Crescent, Waterloo, ON",Rental,2995,"1,755 SQFT",N/A,3,2
"258 HESPELER RD Road Unit# 36, Cambridge, ON",Rental,2950,"1,884 SQFT",N/A,3,3
"70 ST CLAIR AVENUE, Kitchener, ON",Rental,2600,Not listed,N/A,3,2
"416-525 NEW DUNDEE ROAD, Kitchener, ON",Rental,2100,Not listed,N/A,1,1
"98 REISTWOOD Drive Unit# LOWER, Kitchener, ON",Rental,2000,973 SQFT,N/A,2,1
"920 DUNBLANE COURT, Kitchener, ON",Rental,3300,Not listed,N/A,4,4
"386 GROVEHILL Crescent Unit# BSMNT, Kitchener, ON",Rental,1300,780 SQFT,N/A,1,1
"690 KING Street Unit# 418, Kitchener, ON",Rental,2200,705 SQFT,"$3,220",1,1
"24 E ACTIVA Avenue E, Kitchener, ON",Rental,3000,"1,001 SQFT",N/A,3,3
"25 VALENCIA Avenue, Kitchener, ON",Rental,2950,"1,685 SQFT",N/A,3,3
"21 JOHN RUSSELL LANE, Kitchener, ON",Rental,2650,Not listed,N/A,2,2
"410 ZELLER Drive Unit# 3, Kitchener, ON",Rental,2900,"2,000 SQFT",N/A,3,1
"5 RITTENHOUSE Road Unit# 311, Kitchener, ON",Rental,1900,618 SQFT,N/A,1,1
"620 PELHAM Street, Waterloo, ON",Rental,3900,"2,500 SQFT","$7,800",4,3
"55 GREEN VALLEY Drive Unit# 211, Kitchener, ON",Rental,1850,800 SQFT,N/A,1,1
"124 COMPASS Trail Unit# 35, Cambridge, ON",Rental,2850,"1,500 SQFT",N/A,3,3
"1460 HIGHLAND Road W Unit# 11A, Kitchener, ON",Rental,2500,"1,200 SQFT",N/A,3,2
"357 CONNAUGHT Street Unit# 5, Kitchener, ON",Rental,2050,830 SQFT,N/A,2,1
"96 TIMBERLANE CRESCENT, Kitchener, ON",Rental,1850,Not listed,N/A,2,1
"614 LINDEN DRIVE, Cambridge, ON",Rental,2800,Not listed,N/A,4,3
"401 - 103 ROGERS STREET, Waterloo, ON",Rental,2100,Not listed,N/A,2,1
"649 DOON SOUTH Drive, Kitchener, ON",Rental,3500,"2,212 SQFT","$4,862",3,4
"40 420 LINDEN DRIVE, Cambridge, ON",Rental,3400,Not listed,N/A,3,3
"175 SOUTH CREEK Drive, Kitchener, ON",Rental,2799,"1,379 SQFT","$3,573",3,3
"276 BENESFORT Crescent, Kitchener, ON",Rental,2799,"1,056 SQFT",N/A,3,2
"1265 OTTAWA Street, Kitchener, ON",Rental,2200,"1,500 SQFT",N/A,3,2
"321 SPRUCE Street Unit# 605, Waterloo, ON",Rental,2050,619 SQFT,N/A,2,1
"525 NEW DUNDEE Road Unit# 701, Kitchener, ON",Rental,2750,"1,055 SQFT",N/A,2,2
"86 LOXLEIGH Lane, Breslau, ON",Rental,2850,"1,607 SQFT",N/A,3,3
"10 HOLBORN Court Unit# 38, Kitchener, ON",Rental,2600,"1,295 SQFT","$2,635",3,2
"2156 - 258B SUNVIEW STREET, Waterloo, ON",Rental,2250,Not listed,N/A,2,1
"255 NORTHFIELD Drive Unit# 509, Waterloo, ON",Rental,2450,742 SQFT,N/A,2,2
"1004 - 128 KING STREET N, Waterloo, ON",Rental,2650,Not listed,N/A,2,2
"903 - 5 WELLINGTON STREET S, Kitchener, ON",Rental,2200,Not listed,N/A,1,1
"111 - 404 KING STREET W, Kitchener, ON",Rental,1999,Not listed,N/A,1,1
"18 STILLWATER STREET, Kitchener, ON",Rental,3300,Not listed,N/A,4,3
"466 MIDWOOD Crescent Unit# Upper, Waterloo, ON",Rental,2250,"1,003 SQFT","$3,528",3,1
"32 HOLLYBROOK (UPPER) TRAIL, Kitchener, ON",Rental,3499,Not listed,N/A,5,3
"180 OAT LANE, Kitchener, ON",Rental,2400,Not listed,N/A,2,2
"1115 LERCH Road, Breslau, ON",Rental,4200,"2,800 SQFT",N/A,4,4
"47 BLACKSMITH DRIVE, Woolwich, ON",Rental,3250,Not listed,N/A,3,3
"32 PONY Way, Kitchener, ON",Rental,3250,"1,500 SQFT",N/A,4,3
"547 PHILIP Crescent, Cambridge, ON",Rental,3500,"1,975 SQFT",N/A,4,2
"90 TILBURY Street, Breslau, ON",Rental,2785,"1,345 SQFT",N/A,3,3
"15 WELLINGTON Street S Unit# 2306, Kitchener, ON",Rental,2049,625 SQFT,N/A,1,1
"1100 COURTLAND Avenue E Unit# 1006, Kitchener, ON",Rental,1900,Not listed,"$1,349",1,1
"727 THOMAS SLEE Drive, Kitchener, ON",Rental,1550,650 SQFT,"$5,817",1,1
"19 - 15 BLACKLOCK STREET, Cambridge, ON",Rental,2697,Not listed,N/A,3,3
"1215 ELEANOR AVENUE, Cambridge, ON",Rental,3300,Not listed,N/A,4,3
"1 - 15 BLACKLOCK STREET, Cambridge, ON",Rental,3200,Not listed,N/A,4,3
"1302 - 60 FREDERICK STREET, Kitchener, ON",Rental,2300,Not listed,N/A,2,2
"5 WELLINGTON Street S Unit# 910, Kitchener, ON",Rental,2150,625 SQFT,N/A,2,1
"65 TILBURY Street, Breslau, ON",Rental,3500,"2,300 SQFT",N/A,4,3
"2509 - 32 DUKE STREET, Kitchener, ON",Rental,2350,Not listed,N/A,2,2
"1989 OTTAWA Street S Unit# 63A, Kitchener, ON",Rental,2250,865 SQFT,N/A,2,1
"207 EDEN OAK TRAIL, Kitchener, ON",Rental,2850,Not listed,N/A,3,3
"6 CROSSBRIDGE AVENUE E, Kitchener, ON",Rental,3100,Not listed,N/A,4,3
"2203 - 15 WELLINGTON STREET, Kitchener, ON",Rental,1790,Not listed,N/A,1,1
"515 RIVERTRAIL AVENUE, Kitchener, ON",Rental,2750,Not listed,N/A,3,3
"160 BRUCE Street Unit# Main, Kitchener, ON",Rental,2500,"1,064 SQFT",N/A,3,1
"BSMNT - 684 LINDEN DRIVE, Cambridge, ON",Rental,2200,Not listed,N/A,2,2
"1204 - 741 KING STREET W, Kitchener, ON",Rental,1900,Not listed,N/A,1,1
"200 WHEAT LANE, Kitchener, ON",Rental,2400,Not listed,N/A,2,3
"UPPER - 505 BRIDLEWREATH COURT, Kitchener, ON",Rental,3500,Not listed,N/A,4,3
"G30 - 6 UPPER MERCER STREET, Kitchener, ON",Rental,3150,Not listed,N/A,4,4
"UPPER - 27 WILKINSON AVENUE, Cambridge, ON",Rental,2750,Not listed,N/A,3,3
"E - 237 RACHEL CRESCENT, Kitchener, ON",Rental,2200,Not listed,N/A,2,2
"1989 OTTAWA Street S Unit# 24D, Kitchener, ON",Rental,2499,"1,005 SQFT",N/A,2,2
"B602 - 62 BALSAM STREET, Waterloo, ON",Rental,2150,Not listed,N/A,2,2
"15 WELLINGTON Street S Unit# 403, Kitchener, ON",Rental,1995,860 SQFT,N/A,1,1
"312 TAGGE Crescent, Kitchener, ON",Rental,3000,"1,438 SQFT","$3,721",3,3
"132 MERNER Avenue Unit# 3, Kitchener, ON",Rental,1350,400 SQFT,N/A,1,1
"200 WHEAT Lane, Kitchener, ON",Rental,2400,"1,225 SQFT",N/A,2,3
"3 - 270 CLIFTON ROAD, Kitchener, ON",Rental,2400,Not listed,N/A,3,1
"619 SOUTH HAVEN Drive, Waterloo, ON",Rental,2850,"1,450 SQFT",N/A,3,2
"931 GLASGOW Street Unit# 33B, Waterloo, ON",Rental,2500,"1,517 SQFT",N/A,3,2
"595 STRASBURG Road Unit# 209, Kitchener, ON",Rental,2050,701 SQFT,N/A,2,1
"2703 - 15 WELLINGTON STREET S, Kitchener, ON",Rental,1995,Not listed,N/A,1,1
"204 - 103 ROGERS STREET, Waterloo, ON",Rental,2500,Not listed,N/A,2,2
"D16 - 10 PALACE STREET, Kitchener, ON",Rental,2250,Not listed,N/A,2,2
"536 BECKVIEW CRESCENT Crescent, Kitchener, ON",Rental,3299,"2,719 SQFT","$5,575",4,3
"501 MAYFLOWER STREET, Waterloo, ON",Rental,3000,Not listed,N/A,4,2
"15 SAXONY STREET, Kitchener, ON",Rental,3400,Not listed,N/A,4,3
"26 SUMMIT Avenue, Kitchener, ON",Rental,3500,"1,057 SQFT","$4,060",4,2
"218 DEARBORN BOULEVARD, Waterloo, ON",Rental,3300,Not listed,N/A,3,3
"90 DONNENWERTH DRIVE, Kitchener, ON",Rental,2850,Not listed,N/A,3,3
"216 WOODBINE AVENUE, Kitchener, ON",Rental,1800,Not listed,N/A,2,1
"135 - 25 ISHERWOOD AVENUE, Cambridge, ON",Rental,2799,Not listed,N/A,3,3
"216 WOODBINE (BASEMENT) Avenue, Kitchener, ON",Rental,1800,"2,762 SQFT","$5,103",2,1
"73 LITTLEFIELD Crescent E Unit# Lower Unit, Kitchener, ON",Rental,1800,675 SQFT,"$4,133",1,1
"F 14 - 20 PALACE STREET, Kitchener, ON",Rental,2195,Not listed,N/A,2,2
"525 NEW DUNDEE Road Unit# 203, Kitchener, ON",Rental,2600,"1,055 SQFT",N/A,2,2
"5 - 25 ISHERWOOD AVENUE, Cambridge, ON",Rental,2350,Not listed,N/A,3,2
"1908 - 55 DUKE STREET N, Kitchener, ON",Rental,2650,Not listed,N/A,3,2
"44 PONY WAY, Kitchener, ON",Rental,2999,Not listed,N/A,4,3
"UPPER - 16 WHITEHAVEN LANE, Kitchener, ON",Rental,2975,Not listed,N/A,3,3
"20 PALACE Street Unit# F14, Kitchener, ON",Rental,2195,"1,034 SQFT",N/A,2,2
"150 FORESTWALK STREET N, Kitchener, ON",Rental,3699,Not listed,N/A,4,4
"203 MAUSSER Avenue Unit# 12, Kitchener, ON",Rental,2000,723 SQFT,N/A,2,1
"23 MCDOUGALL Road Unit# LOWER, Waterloo, ON",Rental,1850,982 SQFT,"$4,199",2,1
"34 - 470 LINDEN DRIVE, Cambridge, ON",Rental,2700,Not listed,N/A,3,3
"1331 COUNTRYSTONE Drive Unit# B5, Kitchener, ON",Rental,2150,822 SQFT,"$2,776",2,2
"839 AUTUMN WILLOW Drive, Waterloo, ON",Rental,3900,"2,900 SQFT","$9,236",4,4
"36 PONY WAY, Kitchener, ON",Rental,2995,Not listed,N/A,6,4
"224 BEAUMONT CRESCENT, Kitchener, ON",Rental,3200,Not listed,N/A,3,4
"313 - 107 ROGER STREET, Waterloo, ON",Rental,1900,Not listed,N/A,1,1
"521 PARKVIEW CRESCENT, Cambridge, ON",Rental,2699,Not listed,N/A,3,1
"2601 - 108 GARMENT STREET, Kitchener, ON",Rental,2200,Not listed,N/A,1,1
"268 MANCHESTER ROAD, Kitchener, ON",Rental,3499,Not listed,N/A,5,3
"MAIN - 349 MILL STREET, Kitchener, ON",Rental,3000,Not listed,N/A,4,2
"W/OBSMT - 535 APPLEDALE CRESCENT, Waterloo, ON",Rental,2750,Not listed,N/A,4,2
"UPPER - 349 MILL STREET, Kitchener, ON",Rental,2000,Not listed,N/A,2,1
"595 STRASBURG Road Unit# 805, Kitchener, ON",Rental,2150,756 SQFT,N/A,2,1
"595 STRASBURG Road Unit# 712, Kitchener, ON",Rental,2150,756 SQFT,N/A,2,1
"115 SOUTH CREEK Drive Unit# 2D, Kitchener, ON",Rental,3000,"1,575 SQFT","$3,574",3,3
"595 STRASBURG Road Unit# 506, Kitchener, ON",Rental,2150,756 SQFT,N/A,2,1
"6 OAT Lane Unit# 94, Kitchener, ON",Rental,2600,"1,220 SQFT",N/A,2,3
"349 MILL Street Unit# Upper, Kitchener, ON",Rental,2000,"3,419 SQFT","$3,895",2,1
"258 HESPELER Road Unit# 30, Cambridge, ON",Rental,2995,"1,601 SQFT",N/A,3,3
"205 WEST OAK Trail Unit# 55, Kitchener, ON",Rental,2098,841 SQFT,"$2,691",2,1
"595 STRASBURG Road Unit# 406, Kitchener, ON",Rental,2150,756 SQFT,N/A,2,1
"107 WELLINGTON Street N, Kitchener, ON",Rental,2900,"1,668 SQFT",N/A,2,2
"8 BEATRICE Lane, Kitchener, ON",Rental,2900,"1,423 SQFT","$3,555",3,3
"104 GARMENT Street Unit# 1204, Kitchener, ON",Rental,2000,699 SQFT,"$3,220",1,1
"MAIN - 557 STIRLING AVENUE S, Kitchener, ON",Rental,2400,Not listed,N/A,2,1
"2 HILDA Place, Kitchener, ON",Rental,2695,Not listed,"$3,068",3,1
"53 BRUCE Street, Kitchener, ON",Rental,2999,Not listed,"$2,981",4,2
"595 STRASBURG Road Unit# 611, Kitchener, ON",Rental,2150,756 SQFT,N/A,2,1
"298 ACTIVA AVENUE, Kitchener, ON",Rental,2700,Not listed,N/A,4,3
"1 - 90 DUCKWORTH ROAD, Cambridge, ON",Rental,1750,Not listed,N/A,2,1
"250 DRIFTWOOD Drive Unit# Upper, Kitchener, ON",Rental,3700,"2,362 SQFT",N/A,4,3
"85 DUKE Street E Unit# 711, Kitchener, ON",Rental,2100,660 SQFT,"$3,233",1,1
"513 BLAIR CREEK DRIVE Drive, Kitchener, ON",Rental,2200,"3,400 SQFT",N/A,2,1
"312 ERB Street W Unit# 306, Waterloo, ON",Rental,1950,502 SQFT,N/A,1,1
"235 APPLE HILL CRESCENT, Kitchener, ON",Rental,3500,Not listed,N/A,3,4
"143 RIDGEWOOD Road Unit# 46, Cambridge, ON",Rental,2800,"1,700 SQFT",N/A,3,3
"46 - 143 RIDGE ROAD, Cambridge, ON",Rental,2800,Not listed,N/A,3,3
"MAIN - 80 CHESTNUT STREET, Kitchener, ON",Rental,2700,Not listed,N/A,3,2
"28 TIMBERLANE Crescent Unit# LOWER UNIT, Kitchener, ON",Rental,2150,"1,041 SQFT",N/A,2,2
"120 OLD CARRIAGE Drive Unit# B501, Kitchener, ON",Rental,2193,899 SQFT,N/A,2,1
"239 PROSPERITY DR. DRIVE, Kitchener, ON",Rental,3000,Not listed,N/A,3,3
"190 GRULKE Street Unit# 6, Kitchener, ON",Rental,2450,"1,321 SQFT","$1,925",3,2
"1 VICTORIA Street Unit# 307, Kitchener, ON",Rental,2100,657 SQFT,N/A,1,1
"867 LAURELWOOD Drive, Waterloo, ON",Rental,3000,"1,557 SQFT","$4,555",3,3
"22 SHELDON Avenue N Unit# C, Kitchener, ON",Rental,2550,900 SQFT,N/A,3,1
"62 BARWOOD CRESCENT, Kitchener, ON",Rental,2700,Not listed,N/A,3,1
"35 (UPPER) WESTCHESTER Drive, Kitchener, ON",Rental,2500,"1,109 SQFT",N/A,3,1
"33 - 258 HESPELER ROAD, Cambridge, ON",Rental,2950,Not listed,N/A,4,3
"84 EVERGLADE Crescent Unit# LOWER, Kitchener, ON",Rental,2200,Not listed,"$4,684",2,1
"84 EVERGLADE Crescent Unit# UPPER, Kitchener, ON",Rental,2600,Not listed,"$4,684",3,1
"LOWER - 1506 QUEENS BOULEVARD, Kitchener, ON",Rental,2000,Not listed,N/A,3,1
"76 MONTCALM Drive Unit# Lower, Kitchener, ON",Rental,2000,"1,000 SQFT",N/A,2,1
"24 - 15 BLACKLOCK STREET, Cambridge, ON",Rental,3200,Not listed,N/A,3,3
"741 KING Street W Unit# 1504, Kitchener, ON",Rental,1850,553 SQFT,N/A,1,1
"207 - 55 DUKE STREET W, Kitchener, ON",Rental,1850,Not listed,N/A,1,1
"521 HAVELOCK DRIVE, Waterloo, ON",Rental,2650,Not listed,N/A,3,1
"1430 HIGHLAND Road W Unit# B19, Kitchener, ON",Rental,2500,"1,412 SQFT",N/A,2,2
"636 LINDEN DRIVE, Cambridge, ON",Rental,2475,Not listed,N/A,2,2
"778 PARIS Boulevard, Waterloo, ON",Rental,2780,"1,487 SQFT","$3,601",3,3
"10 SUGAR Trail Unit# BASEMENT, Kitchener, ON",Rental,1800,"1,025 SQFT",N/A,2,1
"D30 - 12 HOLBORN DRIVE, Kitchener, ON",Rental,2300,Not listed,N/A,3,2
"131 CLARK Avenue Unit# LOWER, Kitchener, ON",Rental,2000,"1,971 SQFT",N/A,2,1
"191 KING Street S Unit# 801, Waterloo, ON",Rental,2499,835 SQFT,N/A,2,2
"535 MARGARET Street Unit# 60, Cambridge, ON",Rental,2700,"1,273 SQFT",N/A,3,2
"158 KING Street N Unit# 2305, Waterloo, ON",Rental,2650,865 SQFT,"$3,528",2,2
"55 GREEN VALLEY Drive Unit# 109, Kitchener, ON",Rental,1900,696 SQFT,"$1,696",1,1
"101 GOLDEN EAGLE Road Unit# 304, Waterloo, ON",Rental,1999,583 SQFT,N/A,1,1
"1100 COURTLAND Avenue Unit# 808, Kitchener, ON",Rental,2300,"1,000 SQFT",N/A,2,1
"607 - 60 FREDRICK DRIVE, Kitchener, ON",Rental,2500,Not listed,N/A,2,2
"83 - 261 WOODBINE AVENUE, Kitchener, ON",Rental,2900,Not listed,N/A,3,2
"44 WHEAT Lane, Kitchener, ON",Rental,2400,"1,225 SQFT","$3,207",2,3
"375 KING Street N Unit# 1005, Waterloo, ON",Rental,1050,"1,170 SQFT",N/A,1,2
"6 DAYMAN COURT, Kitchener, ON",Rental,5000,Not listed,N/A,5,3
"143 RIDGE Road, Waterloo, ON",Rental,2850,"1,139 SQFT",N/A,2,3
"409 - 103 ROGER STREET, Waterloo, ON",Rental,1900,Not listed,N/A,1,1
"904 - 128 KING ST STREET N, Waterloo, ON",Rental,2400,Not listed,N/A,2,2
"142 FOAMFLOWER Place Unit# 14, Waterloo, ON",Rental,2500,"1,278 SQFT",N/A,2,3
"1438 HIGHLAND Road W Unit# 603, Kitchener, ON",Rental,2540,872 SQFT,N/A,2,2
"1438 W HIGHLAND Road Unit# 1206, Kitchener, ON",Rental,2070,604 SQFT,N/A,1,1
"709 - 85 DUKE STREET W, Kitchener, ON",Rental,2200,Not listed,N/A,2,1
"244 RIDGE ROAD, Cambridge, ON",Rental,3950,Not listed,N/A,5,5
"266 OVERLEA Drive Unit# 302, Kitchener, ON",Rental,1895,732 SQFT,N/A,2,1
"561 LANDGREN Court, Kitchener, ON",Rental,2900,"1,500 SQFT",N/A,3,3
"257 HEMLOCK Street Unit# 301, Waterloo, ON",Rental,1850,500 SQFT,N/A,1,1
"1460 HIGHLAND Road W Unit# 8A, Kitchener, ON",Rental,2450,"1,212 SQFT",N/A,2,2
"43 BIG SPRINGS Court, Kitchener, ON",Rental,3200,"1,600 SQFT",N/A,4,3
"489 EAST Avenue Unit# B, Kitchener, ON",Rental,3900,"1,226 SQFT","$2,838",3,2
"407 LINDEN DRIVE, Cambridge, ON",Rental,3300,"2,643 SQFT","$5,500",4,3
"BSMT -3 RIVERTRAIL Avenue, Kitchener, ON",Rental,1750,"2,400 SQFT",N/A,2,1
"142 FOAMFLOWER Place Unit# D49, Waterloo, ON",Rental,2800,"1,090 SQFT",N/A,3,2
"157 SCHWEITZER STREET, Kitchener, ON",Rental,2700,Not listed,N/A,3,2
"170 OLD CARRIAGE Drive Unit# C218, Kitchener, ON",Rental,2008,856 SQFT,N/A,2,1
"64 BENTON Street Unit# 202, Kitchener, ON",Rental,1750,630 SQFT,"$1,455",1,1
"2710 - 60 FREDERICK STREET S, Kitchener, ON",Rental,2100,Not listed,N/A,2,2
"604 ROYAL FERN Street, Waterloo, ON",Rental,2900,"1,470 SQFT",N/A,3,2
"1704 - 318 SPRUCE STREET, Waterloo, ON",Rental,1900,Not listed,N/A,1,1
"43 OLDFIELD DRIVE, Kitchener, ON",Rental,1800,Not listed,N/A,2,2
"38 - 178 WESTCOURT PLACE, Waterloo, ON",Rental,2600,Not listed,N/A,3,2
"11 - 222 HARVARD PLACE, Waterloo, ON",Rental,2700,Not listed,N/A,2,1
"2006 - 15 WELLINGTON STREET W, Kitchener, ON",Rental,2150,Not listed,N/A,1,1
"2205 - 55 DUKE STREET, Kitchener, ON",Rental,2150,Not listed,N/A,1,1
"A - 532 SUNNYDALE PLACE, Waterloo, ON",Rental,2950,Not listed,N/A,4,2
"E - 524 SUNNYDALE PLACE, Waterloo, ON",Rental,2400,Not listed,N/A,3,1
"321 CARRIAGE Way N Unit# B, Waterloo, ON",Rental,1700,650 SQFT,"$7,291",1,1
"90 PROGRESS CRESCENT, Kitchener, ON",Rental,2550,Not listed,N/A,2,3
"101 GOLDEN EAGLE ROAD Unit# 302, Waterloo, ON",Rental,2000,541 SQFT,N/A,1,1
"176 KENNETH AVENUE, Kitchener, ON",Rental,1900,Not listed,N/A,2,1
"15 WELLINGTON Street S Unit# 2807, Kitchener, ON",Rental,2150,580 SQFT,N/A,1,1
"152 ROCKCLIFFE Drive Unit# B, Kitchener, ON",Rental,1875,"1,042 SQFT","$5,752",2,1
"30 HUGO Crescent Unit# 211, Kitchener, ON",Rental,1899,740 SQFT,"$1,472",2,1
"203 MAUSSER Avenue Unit# 11, Kitchener, ON",Rental,2500,992 SQFT,N/A,3,1
"15 WELLINGTON Street S Unit# 609, Kitchener, ON",Rental,2500,818 SQFT,"$3,233",2,2
"15 WELLINGTON Street S Unit# 2502, Kitchener, ON",Rental,2500,755 SQFT,N/A,2,2
"12 - 60 FREDERICK STREET, Kitchener, ON",Rental,2150,Not listed,N/A,2,1
"55 DUKE Street Unit# 227, Kitchener, ON",Rental,1975,688 SQFT,N/A,1,1
"89 BLACKSMITH DRIVE, Woolwich, ON",Rental,3000,Not listed,N/A,3,3
"2103 - 318 SPRUCE STREET, Waterloo, ON",Rental,3295,Not listed,N/A,3,2
"G407 - 275 LARCH STREET, Waterloo, ON",Rental,2300,Not listed,N/A,2,2
"F114 - 275 LARCH STREET, Waterloo, ON",Rental,1700,Not listed,N/A,1,1
"62 ELKINGTON DRIVE, Kitchener, ON",Rental,1750,Not listed,N/A,1,1
"MAIN - 1749 EASTDOWNS DRIVE, Cambridge, ON",Rental,2900,Not listed,N/A,3,1
"8 ROSENEATH Crescent Unit# B, Kitchener, ON",Rental,1950,922 SQFT,N/A,2,2
"1405 - 741 KING STREET W, Kitchener, ON",Rental,1999,Not listed,N/A,1,1
"700 ERINBROOK Drive Unit# 21, Kitchener, ON",Rental,2400,"1,318 SQFT","$2,290",3,2
"476 PROSPECT Avenue Unit# MAIN, Kitchener, ON",Rental,2000,800 SQFT,N/A,2,1
"105 - 85 DUKE STREET W, Kitchener, ON",Rental,2600,Not listed,N/A,2,2
"BSMNT - 454 WESTHAVEN STREET, Waterloo, ON",Rental,2000,Not listed,N/A,2,1
"108 GARMENT Street S Unit# 812, Kitchener, ON",Rental,1900,549 SQFT,N/A,1,1
"149-A NORTHLAKE Drive Unit# Basement, Waterloo, ON",Rental,2000,Not listed,N/A,2,0
"184-B WILFRED Avenue Unit# Lower, Kitchener, ON",Rental,1850,"1,000 SQFT",N/A,1,1
"533 GRISTMILL Street, Waterloo, ON",Rental,4000,"3,680 SQFT","$7,671",5,4
"25 ISHERWOOD Avenue Unit# C037, Cambridge, ON",Rental,2300,"1,148 SQFT",N/A,3,2
"155 EQUESTRIAN Way Unit# 96, Cambridge, ON",Rental,2800,"1,500 SQFT","$1,200",3,4
"163 ERB STREET W, Waterloo, ON",Rental,2795,Not listed,N/A,3,2
"184 MAITLAND STREET, Kitchener, ON",Rental,2850,Not listed,N/A,3,3
"#H4 - 70 WILLOWRUN DRIVE, Kitchener, ON",Rental,2550,Not listed,N/A,2,3
"G-105 - 275 LARCH STREET, Waterloo, ON",Rental,2600,Not listed,N/A,2,2
"39 APPLEBY Street, Kitchener, ON",Rental,2495,"1,282 SQFT","$2,985",2,3
"5 OXFORDSHIRE LANE, Kitchener, ON",Rental,2750,Not listed,N/A,3,3
"G205 - 275 LARCH STREET, Waterloo, ON",Rental,2375,Not listed,N/A,2,2
"12 BANK SWALLOW Crescent, Kitchener, ON",Rental,3050,"1,840 SQFT",N/A,3,3
"144 WATERMILL Street, Kitchener, ON",Rental,2949,"1,444 SQFT","$4,404",3,3
"364 TEALBY Place, Waterloo, ON",Rental,1995,Not listed,N/A,2,1
"132 HENHOEFFER CRESCENT, Kitchener, ON",Rental,3200,Not listed,N/A,4,2
"224 BUTTERCUP Court, Waterloo, ON",Rental,3300,"1,500 SQFT",N/A,4,4
"62 SCENIC Drive Unit# Lower, Kitchener, ON",Rental,2090,"1,093 SQFT","$3,660",2,1
"B - 210 MELROSE AVENUE, Kitchener, ON",Rental,1950,Not listed,N/A,2,1
"210 MELROSE Avenue Unit# B, Kitchener, ON",Rental,1950,"2,080 SQFT","$3,595",2,1
"106 - 253 ALBERT STREET W, Waterloo, ON",Rental,2500,Not listed,N/A,2,2
"UPPER - 950 QUEENS BOULEVARD, Kitchener, ON",Rental,2500,Not listed,N/A,3,1
"593 STRASBURG Road Unit# 509, Kitchener, ON",Rental,1925,640 SQFT,N/A,2,1
"931 GLASGOW Street Unit# 28B, Kitchener, ON",Rental,2700,"1,480 SQFT",N/A,3,2
"15 BLACKLOCK STREET Street Unit# 09, Cambridge, ON",Rental,2799,"1,660 SQFT",$1,3,3
"UPPER - 368 FOUNTAIN STREET, Cambridge, ON",Rental,2600,Not listed,N/A,2,1
"283 FAIRWAY Road N Unit# 106, Kitchener, ON",Rental,2150,842 SQFT,N/A,2,1
"481 LAUSANNE Crescent, Waterloo, ON",Rental,2800,"1,357 SQFT",N/A,3,3
"431 BLAIR ROAD, Cambridge, ON",Rental,2850,Not listed,N/A,2,2
"51 - 142 FOAMFLOWER PLACE, Waterloo, ON",Rental,2500,Not listed,N/A,2,3
"1331 COUNTRYSTONE Drive Unit# A10, Kitchener, ON",Rental,2200,822 SQFT,N/A,2,2
"736 OLD ALBERT Street Unit# 411, Waterloo, ON",Rental,1895,784 SQFT,N/A,2,1
"274 ERB Street W Unit# 102, Waterloo, ON",Rental,2095,752 SQFT,N/A,2,1
"224 COUNTRYSTONE Crescent Unit# 2, Kitchener, ON",Rental,2200,"1,316 SQFT","$3,854",2,2
"361 WESTVALE Drive Unit# upper, Waterloo, ON",Rental,2300,600 SQFT,"$4,082",2,1
"158 KING Street N Unit# 2504, Waterloo, ON",Rental,2300,600 SQFT,N/A,2,1
"424 - 690 KING STREET W, Kitchener, ON",Rental,2500,Not listed,N/A,2,1
"610 - 128 KING STREET N, Kitchener, ON",Rental,1950,Not listed,N/A,2,1
"B - 61 MARSHALL STREET, Waterloo, ON",Rental,2600,Not listed,N/A,3,2
"1 - 270 CLIFTON ROAD, Kitchener, ON",Rental,1850,Not listed,N/A,2,1
"909 - 128 KING STREET N, Waterloo, ON",Rental,2250,Not listed,N/A,2,1
"700 PARIS Boulevard Unit# Lower, Waterloo, ON",Rental,1500,"1,803 SQFT","$3,707",0,1
"384 ERB Street W Unit# 202, Waterloo, ON",Rental,2300,"1,095 SQFT",N/A,2,1
"22 BERWICK PLACE, Kitchener, ON",Rental,2350,Not listed,N/A,3,2
"406 ERB Street W Unit# 2, Waterloo, ON",Rental,2300,"1,180 SQFT",N/A,3,2
"408 ERB Street W Unit# 2, Waterloo, ON",Rental,2100,"1,200 SQFT",N/A,2,1
